Year,Month,Day,DayOfWeek,Flight_Date,UniqueCarrier,Origin_Airport,Scheduled_Departure,Departure_Time,Dep_Delay,DepDel15,Scheduled_Arrival,Arrival_Delay,Arr_Del_morethan15,Distance,DistanceGroup,Carrier_Delay,WeatherDelay,NAS_Delay,Security_Delay,Late_Aircraft_Delay,DEPTIME_GROUP1,DEPTIME_GROUP2,DEPTIME_GROUP3
2017,5,15,1,15/05/2017,DL,DFW,1605,1600,-5,0,1913,-16,0,731,3,0,0,0,0,0,1200-1800,1400-1600,"1500-1600"
2017,5,15,1,15/05/2017,DL,MSP,700,656,-4,0,824,-14,0,1276,6,0,0,0,0,0,0600-1200,0600-0800,"0600-0700"
2017,5,15,1,15/05/2017,DL,ATL,2147,2147,0,0,2210,-12,0,350,2,0,0,0,0,0,1800-2359,2000-2200,"2100-2200"
2017,5,15,1,15/05/2017,DL,MSP,1756,1757,1,0,1925,-1,0,1276,6,0,0,0,0,0,1200-1800,1600-1800,"1700-1800"
2017,5,15,1,15/05/2017,DL,DEN,600,646,46,1,1057,26,1,1199,5,26,0,0,0,0,0600-1200,0600-0800,"0600-0700"
2017,5,15,1,15/05/2017,DL,ATL,2129,2126,-3,0,2230,-16,0,143,1,0,0,0,0,0,1800-2359,2000-2200,"2100-2200"
2017,5,15,1,15/05/2017,DL,ATL,811,807,-4,0,940,-13,0,432,2,0,0,0,0,0,0600-1200,0800-1000,"0800-0900"
2017,5,15,1,15/05/2017,DL,ATL,813,811,-2,0,928,-5,0,321,2,0,0,0,0,0,0600-1200,0800-1000,"0800-0900"
2017,5,15,1,15/05/2017,DL,BOS,1647,1641,-6,0,1906,-21,0,632,3,0,0,0,0,0,1200-1800,1600-1800,"1600-1700"
2017,5,15,1,15/05/2017,DL,ATL,1515,1510,-5,0,1706,-3,0,646,3,0,0,0,0,0,1200-1800,1400-1600,"1500-1600"
2017,5,15,1,15/05/2017,DL,DTW,1400,1351,-9,0,1543,-9,0,453,2,0,0,0,0,0,1200-1800,1200-1400,"1300-1400"
2017,5,15,1,15/05/2017,DL,MCO,815,814,-1,0,1055,-1,0,950,4,0,0,0,0,0,0600-1200,0800-1000,"0800-0900"
2017,5,15,1,15/05/2017,DL,ATL,1606,1606,0,0,1755,-7,0,581,3,0,0,0,0,0,1200-1800,1600-1800,"1600-1700"
2017,5,15,1,15/05/2017,DL,LAS,700,656,-4,0,1203,-17,0,1299,6,0,0,0,0,0,0600-1200,0600-0800,"0600-0700"
2017,5,15,1,15/05/2017,DL,MSP,1510,1506,-4,0,1902,0,0,1124,5,0,0,0,0,0,1200-1800,1400-1600,"1500-1600"
2017,5,15,1,15/05/2017,DL,MSP,1555,1621,26,1,2014,9,0,1310,6,0,0,0,0,0,1200-1800,1600-1800,"1600-1700"
2017,5,15,1,15/05/2017,DL,ATL,1517,1512,-5,0,1636,-20,0,743,3,0,0,0,0,0,1200-1800,1400-1600,"1500-1600"
2017,5,15,1,15/05/2017,DL,ATL,1446,1442,-4,0,1619,-19,0,432,2,0,0,0,0,0,1200-1800,1400-1600,"1400-1500"
2017,5,15,1,15/05/2017,DL,ATL,2107,2101,-6,0,2240,-14,0,432,2,0,0,0,0,0,1800-2359,2000-2200,"2100-2200"
2017,5,15,1,15/05/2017,DL,DTW,957,949,-8,0,1129,-3,0,409,2,0,0,0,0,0,0600-1200,0800-1000,"0900-1000"
2017,5,15,1,15/05/2017,DL,PHX,1852,1850,-2,0,2357,-26,0,1276,6,0,0,0,0,0,1800-2359,1800-2000,"1800-1900"
2017,5,15,1,15/05/2017,DL,LAS,1135,1131,-4,0,1649,-30,0,1299,6,0,0,0,0,0,0600-1200,1000-1200,"1100-1200"
2017,5,15,1,15/05/2017,DL,MSP,915,905,-10,0,1038,6,0,1299,6,0,0,0,0,0,0600-1200,0800-1000,"0900-1000"
2017,5,15,1,15/05/2017,DL,LGA,955,959,4,0,1236,7,0,762,4,0,0,0,0,0,0600-1200,0800-1000,"0900-1000"
2017,5,15,1,15/05/2017,DL,MSP,1133,1133,0,0,1326,47,1,1535,7,0,0,47,0,0,0600-1200,1000-1200,"1100-1200"
2017,5,15,1,15/05/2017,DL,ATL,825,823,-2,0,927,-11,0,1587,7,0,0,0,0,0,0600-1200,0800-1000,"0800-0900"
2017,5,15,1,15/05/2017,DL,PHX,1029,1020,-9,0,1709,-8,0,1587,7,0,0,0,0,0,0600-1200,1000-1200,"1000-1100"
2017,5,15,1,15/05/2017,DL,ATL,944,946,2,0,1104,-16,0,1199,5,0,0,0,0,0,0600-1200,0800-1000,"0900-1000"
2017,5,15,1,15/05/2017,DL,DEN,1146,1146,0,0,1645,-6,0,1199,5,0,0,0,0,0,0600-1200,1000-1200,"1100-1200"
2017,5,15,1,15/05/2017,DL,DTW,1207,1209,2,0,1359,13,0,502,3,0,0,0,0,0,1200-1800,1200-1400,"1200-1300"
2017,5,15,1,15/05/2017,DL,MSP,1745,1750,5,0,2128,-23,0,907,4,0,0,0,0,0,1200-1800,1600-1800,"1700-1800"
2017,5,15,1,15/05/2017,DL,MSP,950,945,-5,0,1121,-17,0,393,2,0,0,0,0,0,0600-1200,0800-1000,"0900-1000"
2017,5,15,1,15/05/2017,DL,MSP,1811,1811,0,0,1945,-20,0,1299,6,0,0,0,0,0,1800-2359,1800-2000,"1800-1900"
2017,5,15,1,15/05/2017,DL,MSP,1315,1312,-3,0,1646,27,1,907,4,0,0,27,0,0,1200-1800,1200-1400,"1300-1400"
2017,5,15,1,15/05/2017,DL,LAX,1500,1505,5,0,2216,-10,0,1947,8,0,0,0,0,0,1200-1800,1400-1600,"1500-1600"
2017,5,15,1,15/05/2017,DL,ATL,2137,2205,28,1,2250,18,1,270,2,7,0,0,0,11,1800-2359,2200-2359,"2200-2300"
2017,5,15,1,15/05/2017,DL,ATL,2255,2301,6,0,26,3,0,432,2,0,0,0,0,0,1800-2359,2200-2359,"2300-2359"
2017,5,15,1,15/05/2017,DL,DTW,1537,1533,-4,0,1735,2,0,1979,8,0,0,0,0,0,1200-1800,1400-1600,"1500-1600"
2017,5,15,1,15/05/2017,DL,LAX,1855,1853,-2,0,2146,-13,0,2556,11,0,0,0,0,0,1800-2359,1800-2000,"1800-1900"
2017,5,15,1,15/05/2017,DL,ATL,1414,1411,-3,0,1557,-7,0,526,3,0,0,0,0,0,1200-1800,1400-1600,"1400-1500"
2017,5,15,1,15/05/2017,DL,ATL,1155,1222,27,1,1402,18,1,666,3,2,0,0,0,16,1200-1800,1200-1400,"1200-1300"
2017,5,15,1,15/05/2017,DL,SLC,2200,2158,-2,0,2259,-13,0,588,3,0,0,0,0,0,1800-2359,2000-2200,"2100-2200"
2017,5,15,1,15/05/2017,DL,ATL,1242,1238,-4,0,1405,-2,0,356,2,0,0,0,0,0,1200-1800,1200-1400,"1200-1300"
2017,5,15,1,15/05/2017,DL,MSP,625,622,-3,0,950,-15,0,907,4,0,0,0,0,0,0600-1200,0600-0800,"0600-0700"
2017,5,15,1,15/05/2017,DL,ATL,1633,1633,0,0,1815,16,1,1892,8,0,0,16,0,0,1200-1800,1600-1800,"1600-1700"
2017,5,15,1,15/05/2017,DL,DTW,828,826,-2,0,920,-9,0,528,3,0,0,0,0,0,0600-1200,0800-1000,"0800-0900"
2017,5,15,1,15/05/2017,DL,ATL,1026,1021,-5,0,1105,-5,0,484,2,0,0,0,0,0,0600-1200,1000-1200,"1000-1100"
2017,5,15,1,15/05/2017,DL,MCO,750,748,-2,0,1019,-11,0,1310,6,0,0,0,0,0,0600-1200,0600-0800,"0700-0800"
2017,5,15,1,15/05/2017,DL,ATL,720,721,1,0,840,1,0,406,2,0,0,0,0,0,0600-1200,0600-0800,"0700-0800"
2017,5,15,1,15/05/2017,DL,ATL,2255,2251,-4,0,2301,-15,0,240,1,0,0,0,0,0,1800-2359,2200-2359,"2200-2300"
2017,5,15,1,15/05/2017,DL,ATL,1506,1506,0,0,1649,-13,0,907,4,0,0,0,0,0,1200-1800,1400-1600,"1500-1600"
2017,5,15,1,15/05/2017,DL,ATL,1910,1905,-5,0,2005,-8,0,153,1,0,0,0,0,0,1800-2359,1800-2000,"1900-2000"
2017,5,15,1,15/05/2017,DL,LAX,925,930,5,0,1507,-13,0,1670,7,0,0,0,0,0,0600-1200,0800-1000,"0900-1000"
2017,5,15,1,15/05/2017,DL,MSP,903,901,-2,0,1230,-1,0,936,4,0,0,0,0,0,0600-1200,0800-1000,"0900-1000"
2017,5,15,1,15/05/2017,DL,ATL,951,949,-2,0,1110,-18,0,1747,7,0,0,0,0,0,0600-1200,0800-1000,"0900-1000"
2017,5,15,1,15/05/2017,DL,SFO,800,922,82,1,1341,84,1,1589,7,82,0,2,0,0,0600-1200,0800-1000,"0900-1000"
2017,5,15,1,15/05/2017,DL,MSP,625,619,-6,0,903,-17,0,528,3,0,0,0,0,0,0600-1200,0600-0800,"0600-0700"
2017,5,15,1,15/05/2017,DL,SFO,1125,1126,1,0,2015,4,0,2586,11,0,0,0,0,0,0600-1200,1000-1200,"1100-1200"
2017,5,15,1,15/05/2017,DL,ATL,1508,1506,-2,0,1719,-8,0,749,3,0,0,0,0,0,1200-1800,1400-1600,"1500-1600"
2017,5,15,1,15/05/2017,DL,LGA,1735,1823,48,1,2038,52,1,950,4,2,0,4,0,46,1800-2359,1800-2000,"1800-1900"
2017,5,15,1,15/05/2017,DL,ATL,1345,1343,-2,0,1559,20,1,762,4,0,0,20,0,0,1200-1800,1200-1400,"1300-1400"
2017,5,15,1,15/05/2017,DL,LAX,1135,1234,59,1,1424,51,1,954,4,33,0,0,0,18,1200-1800,1200-1400,"1200-1300"
2017,5,15,1,15/05/2017,DL,MSP,1305,1303,-2,0,1637,-9,0,931,4,0,0,0,0,0,1200-1800,1200-1400,"1300-1400"
2017,5,15,1,15/05/2017,DL,ATL,2236,2232,-4,0,18,-13,0,516,3,0,0,0,0,0,1800-2359,2200-2359,"2200-2300"
2017,5,15,1,15/05/2017,DL,CLT,820,815,-5,0,933,-6,0,226,1,0,0,0,0,0,0600-1200,0800-1000,"0800-0900"
2017,5,15,1,15/05/2017,DL,ATL,2252,2251,-1,0,6,-7,0,306,2,0,0,0,0,0,1800-2359,2200-2359,"2200-2300"
2017,5,15,1,15/05/2017,DL,MSP,1945,1942,-3,0,2343,-10,0,1020,5,0,0,0,0,0,1800-2359,1800-2000,"1900-2000"
2017,5,15,1,15/05/2017,DL,MSP,2220,2233,13,0,2348,7,0,874,4,0,0,0,0,0,1800-2359,2200-2359,"2200-2300"
2017,5,15,1,15/05/2017,DL,ATL,2125,2133,8,0,2300,0,0,444,2,0,0,0,0,0,1800-2359,2000-2200,"2100-2200"
